[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.001159s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001249s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000983s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001051s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001315s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001389s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.009649s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009736s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000911s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000939s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000764s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000986s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003797s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000980s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001055s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001199s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001292s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001148s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001226s ]
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/verify/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/verify/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/verify/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-11T15:27:23+08:00 ] /ak1007/index.php/Public/verify/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
